,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Difference
262,2019-02-06,62.11000061,62.79000092,58.88000107,61.38000107,3094400,0,0,-1.18%
263,2019-02-07,59.65999985,63.5,59.54999924,62.34999847,2344100,0,0,4.51%
264,2019-02-08,61.66999817,62.29999924,60.04000092,60.22999954,1743300,0,0,-2.34%
265,2019-02-11,60.77999878,60.84000015,56,57.18000031,2973000,0,0,-5.92%
266,2019-02-12,55.79000092,59.47000122,55.22999954,58.31999969,2724900,0,0,4.53%
267,2019-02-13,59.40000153,61.84999847,59.06000137,61.09999847,2736800,0,0,2.86%
268,2019-02-14,62.36000061,62.63000107,59.61999893,61.27999878,2704600,0,0,-1.73%
269,2019-02-15,64.73000336,66.01999664,61.68999863,62.81000137,4837900,0,0,-2.97%
270,2019-02-19,61.65000153,62.29999924,60.54999924,61.08000183,3308600,0,0,-0.92%
271,2019-02-20,61.00999832,62.24000168,60.36000061,60.79999924,2984800,0,0,-0.34%
272,2019-02-21,59.5,60.54000092,59.09999847,59.40999985,2485900,0,0,-0.15%
273,2019-02-22,60,60.33000183,58.02999878,58.50999832,2831300,0,0,-2.48%
274,2019-02-25,58.24000168,58.5,56.49000168,57.79999924,2038600,0,0,-0.76%
275,2019-02-26,57.52999878,60.95000076,57.25999832,60.79999924,2661200,0,0,5.68%
276,2019-02-27,60.90000153,61.11999893,59.34000015,60.16999817,2115600,0,0,-1.20%
277,2019-02-28,61.88999939,63.25,61.70999908,62.38000107,4139200,0,0,0.79%
278,2019-03-01,63.29000092,63.65000153,62.06000137,62.52999878,2091700,0,0,-1.20%
279,2019-03-04,63.20000076,63.59000015,60.84999847,62.38999939,2540400,0,0,-1.28%
280,2019-03-05,61.50999832,64.31999969,61.50999832,64.05999756,2823200,0,0,4.15%
281,2019-03-06,63.47999954,65.41000366,61.75,61.90999985,3208300,0,0,-2.47%
282,2019-03-07,61.90999985,61.97000122,59.70000076,60.61000061,2322300,0,0,-2.10%
283,2019-03-08,59,61.09999847,58.65999985,60.81000137,1733200,0,0,3.07%
284,2019-03-11,60.99000168,61.88999939,60.16999817,61.47999954,1476900,0,0,0.80%
285,2019-03-12,61.27999878,64.19000244,61.18999863,62.36000061,3067200,0,0,1.76%
286,2019-03-13,63.54000092,63.97999954,60.95999908,61.36999893,2655700,0,0,-3.42%
287,2019-03-14,61.34999847,61.93999863,59.90000153,60.59000015,2559100,0,0,-1.24%
288,2019-03-15,60.97999954,61.24000168,60.15000153,60.86999893,2241900,0,0,-0.18%
289,2019-03-18,61.09000015,62.16999817,60.24000168,61,2439000,0,0,-0.15%
290,2019-03-19,61.34999847,62,60.5,61.34999847,2229500,0,0,0.00%
291,2019-03-20,61.31999969,64.76000214,60.86000061,62.29999924,5244000,0,0,1.60%
292,2019-03-21,62.88999939,63.84999847,61.13000107,61.5,2484600,0,0,-2.21%
293,2019-03-22,61.34000015,61.81000137,59.5,59.54000092,2788500,0,0,-2.93%
294,2019-03-25,60.20000076,60.70000076,58.24000168,59.13999939,3031800,0,0,-1.76%
295,2019-03-26,59.70999908,59.86999893,58.5,59.72999954,1572400,0,0,0.03%
296,2019-03-27,59.45999908,60.06000137,56.54000092,57.49000168,2389100,0,0,-3.31%
297,2019-03-28,56.77000046,57.83000183,54.47999954,56.88999939,2004700,0,0,0.21%
298,2019-03-29,56.99000168,58.15999985,56.29999924,57.81999969,1431700,0,0,1.46%
299,2019-04-01,58.09999847,58.20000076,56.40000153,56.75999832,2134000,0,0,-2.31%
300,2019-04-02,56.5,57.59999847,56.00999832,57.59999847,1233900,0,0,1.95%
301,2019-04-03,57.40000153,58.68999863,57.04000092,58.27999878,2035300,0,0,1.53%
